word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
hloea,negative,4,"{""positive"": 0.4, ""negative"": 0.6, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'negative': 3, 'positive': 2}. Avg Rating: 3.60. Inferred: Sent=negative, Int=4.","[""Ke hloea ho bona batho ba thabile ha ba kopana."", ""Mokete o ile oa hloea ha pula e qala ho na."", ""Ke hloea ho ja lijo tse monate le metsoalle."", ""Ho hloea ha motho a sa etse mosebetsi oa hae hantle."", ""Ke hloea ho bala libuka tse khahlisang bosiu.""]"
hloile,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 1, 'neutral': 1}. Avg Rating: 2.80. Inferred: Sent=positive, Int=3.","[""Ke hloile ho bala libuka tse ngata selemong sena."", ""O hloile ho ja meroho, empa o rata litholoana."", ""Ba hloile ho sebetsa ka thata, empa ba fumana moputso o motle."", ""Re hloile ho bona metsoalle ea rona e le sieo nakong ea matsatsi a phomolo."", ""Ho hloile ho na le moelelo o fapaneng ho batho ba fapaneng.""]"
hlompha,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'neutral': 1, 'negative': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Ke hlompha batswadi ba ka ka pelo yohle."", ""Ho hlompha batho ba bang ke let\u0161oao la botho bo botle."", ""O ile a hlompha melao ea sekolo, empa a sa e utloisise hantle."", ""Ho hlompha motho ea sa hlompheheng ho ka ba thata haholo."", ""Ba ile ba hlompha qeto ea hae leha ba sa lumellane le eona.""]"
iketsetsa,positive,3,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""O ile a iketsetsa kofi hoseng ho qala letsatsi ka matla."", ""Bana ba ithuta ho iketsetsa mesebetsi ea sekolo ntle le thuso."", ""O ne a iketsetsa qeto e mpe e ileng ea baka mathata a mangata."", ""Ke rata ho iketsetsa liqeto tsa ka ntle le t\u0161usumetso ea batho ba bang."", ""Ho iketsetsa lijo tsa mots'eare ke tsela e ntle ea ho boloka chelete.""]"
kganya,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 1, 'neutral': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Kganya ya letsatsi e khant\u0161ha lefats'e ka botlalo hoseng."", ""Leha a ne a le maemong a thata, kganya ya pelo ya hae e ne e sa time."", ""Kganya ya lebone e ne e le matla haholo, e sitisa mahlo a ka."", ""Kganya ya linaleli bosiu e etsa hore ke ikutloe ke le haufi le bokahohle."", ""Ho ne ho se na kganya e lekaneng ka phaposing, kahoo re ile ra tlameha ho bula lifensetere.""]"
kgathala,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.60. Inferred: Sent=positive, Int=4.","[""Ke kgathala ka tsela eo a nkgathalelang ka eona."", ""Leha a ne a kgathala, o ile a phethela mosebetsi wa hae."", ""Ke kgathala ke ho utlwa ditaba tse mpe letsatsi le letsatsi."", ""O ile a kgathala ke ho ema moleng nako e telele."", ""Ho kgathala ha hae ka ba bang ho etsa hore a ratoa haholo.""]"
kgolo,positive,4,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.80. Inferred: Sent=positive, Int=4.","[""Kgolo ya moruo e tlisitse menyetla e mengata bakeng sa bacha."", ""Leeto la rona le ne le le kgolo ebile le le monate."", ""Mathata a kgolo a hlaha ha re sa buisane hantle."", ""Kgolo ya sefate sena e makatsa ka potlako ya yona."", ""O ile a ikutlwa a kgolo ka lebaka la katlego ya hae.""]"
kgotsofala,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.80. Inferred: Sent=positive, Int=4.","[""Ke kgotsofala haholo ka mosebetsi oo ke o phethileng kajeno."", ""Leha a ile a fumana maemo a matle, ha a ka a kgotsofala."", ""O ile a kgotsofala ha a utlwa ditaba tse monate."", ""Ke kgotsofala ka tsela eo re buisanang ka yona."", ""Ga ke kgotsofala ka diphetho tsa kopano ya rona.""]"
kgutsa,positive,3,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Ke kgutsa ka lebaka la mosebetsi o boima oo ke o phethileng kajeno."", ""Kgutsa ya gagwe e ile ya mo sitisa ho fihlela dipakane tsa hae."", ""O ile a kgutsa ha a utlwa ditaba tse monate tseo."", ""Kgutsa e ka baka mathata a bophelo bo botle haeba e sa laolwe hantle."", ""Ke ile ka kgutsa ka nako e telele pele ke fumana mosebetsi o motjha.""]"
khotso,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.60. Inferred: Sent=positive, Int=4.","[""Khotso e bile lefa le leholo ho batho ba rona."", ""Ho na le khotso e ngata motseng oa heso kamora likhohlano tse ngata."", ""Khotso ea hae e ile ea senyeha ha a utloa litaba tse mpe."", ""Re lakatsa hore khotso e be teng lefat\u0161eng lohle."", ""Khotso e ka ba thata ho e fumana nakong ea mathata.""]"
kotlo,positive,3,"{""positive"": 0.4, ""negative"": 0.4, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 2, 'neutral': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Kotlo e ile ya mo thusa ho ithuta ho feta diphosong tsa hae."", ""O ile a fumana kotlo e boima ka lebaka la ho se mamele melao."", ""Kotlo e ne e le bonolo, empa e ile ya mo hopotsa boikarabelo ba hae."", ""Baithuti ba ile ba amohela kotlo ya ho se etse mosebetsi wa sekolo ka nako."", ""Kotlo e ile ya ba le phello e ntle bophelong ba hae, ya mo ruta boitshwaro.""]"
lakatsa,positive,3,"{""positive"": 0.75, ""negative"": 0.25, ""neutral"": 0.0}","Aggregated from 4 valid sentence analyses. Counts: {'positive': 3, 'negative': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ke lakatsa ho etela malome ka mafelo-beke a tlang."", ""O lakatsa ho ba le koloi e ncha empa ha a na chelete e lekaneng."", ""Bana ba lakatsa ho bapala kantle ha pula e emisa."", ""O lakatsa ho ithuta ho pheha lijo tsa setso.""]"
lefifi,positive,3,"{""positive"": 0.4, ""negative"": 0.4, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 2, 'neutral': 1}. Avg Rating: 2.80. Inferred: Sent=positive, Int=3.","[""Lefifi le ile la tlisa khutso motseng ha batho ba robetse."", ""Ke ne ke t\u0161aba lefifi ha ke sa le monyenyane."", ""Lefifi le ile la aparela motse ka mor'a ho likela ha letsatsi."", ""Ho na le botle bo ikhethang ha linaleli li phatsima lefifing."", ""Lefifi le ile la etsa hore ke lahlehe tseleng.""]"
lehloyo,negative,3,"{""positive"": 0.2, ""negative"": 0.6, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'negative': 3, 'neutral': 1, 'positive': 1}. Avg Rating: 3.20. Inferred: Sent=negative, Int=3.","[""Lehloyo le ka senya kamano e ntle pakeng tsa metsoalle."", ""Ke ile ka utloa lehloyo le leholo ha ke bona katleho ea hae."", ""Lehloyo le ka ba le matla a ho susumetsa batho ho etsa lintho tse mpe."", ""Ho bohlokoa ho ithuta ho laola lehloyo hore le se ke la re laola."", ""Lehloyo le ka fetoha lerato ha re utloisisa maikutlo a rona hantle.""]"
lerata,positive,3,"{""positive"": 0.4, ""negative"": 0.4, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'neutral': 1, 'negative': 2}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ke rata lerata la mmino wa setso ha ke le moketeng."", ""Lerata la mechine le nthusa ho tsepamisa mohopolo ha ke sebetsa."", ""Bana ba ne ba etsa lerata le leholo ha ba ntse ba bapala ka ntle."", ""Ke sitwa ho robala ka lebaka la lerata le tsoang tseleng e kholo."", ""Lerata la pula le etsa hore ke ikutloe ke khobile mat\u0161oafo.""]"
lerato,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 1, 'neutral': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""Lerato la bona le etsa hore bophelo bo be monate."", ""Ke utlwile bohloko ha lerato la rona le fela ka tsela e bohloko."", ""Lerato ke ntho e thata ho e hlalosa ka mantsoe."", ""Ho na le lerato le leholo pakeng tsa metswalle e metle."", ""Lerato la hae la ho ithuta le mo thusitse ho atleha sekolong.""]"
lesedi,neutral,1,"{""positive"": 0.2, ""negative"": 0.2, ""neutral"": 0.6}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 1, 'neutral': 3, 'negative': 1}. Avg Rating: 1.80. Inferred: Sent=neutral, Int=1.","[""Lesedi la letsatsi le chabile haholo hoseng hona."", ""Ke ile ka fumana lesedi le lecha ka morero oo re buang ka oona."", ""Lesedi le khanyang la lebone le ile la senya pono ea ka bosiu."", ""Lesedi le ile la fifala ha maru a qala ho bokellana."", ""Ho na le lesedi le itseng ka taba ena, empa ha ke so e utloisise ka botlalo.""]"
leshano,negative,3,"{""positive"": 0.0, ""negative"": 0.8, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'negative': 4, 'neutral': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Leshano le ka senya tshepo pakeng tsa metswalle."", ""O ile a bua leshano le leholo ho pholosa motsoalle wa hae."", ""Ke ile ka utlwa leshano le monate le neng le qoqwa ke bana."", ""Leshano le ka ba le ditlamorao tse mpe bophelong ba motho."", ""Ho bua leshano ka linako tse ling ho ka ba le sephetho se sa lebelloang.""]"
mahlomola,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mahlomola a ka a fetohile thuto e kholo bophelong ba ka."", ""Leha a ne a le mahlomola, o ile a tsoela pele ka sebete."", ""Mahlomola a batho ba bangata a bakoa ke bofuma le ho hloka mosebetsi."", ""Ho na le mahlomola a mangata a sa hlaloseheng a etsahalang lefat\u0161eng."", ""Ka mor'a mahlomola a mangata, qetellong re ile ra fumana katleho.""]"
makatsa,positive,3,"{""positive"": 0.8, ""negative"": 0.0, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'neutral': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Pono ea linaleli bosiu e ne e makatsa haholo."", ""O ile a makatsa bohle ka bokhoni ba hae ba ho bina."", ""Litaba tseo li ile tsa makatsa batho ba bangata motseng."", ""Ho makatsa hore na o ile a khona ho qeta mosebetsi kapele hakana."", ""Mokhoa oo a ileng a araba ka oona o ne o makatsa empa o nepahetse.""]"
mofuthu,positive,3,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""Mofuthu wa letsatsi le leholo o etsa hore re ikutlwe re phutholohile."", ""Ke rata mofuthu wa kobo ena ha ke robala mariha."", ""Mofuthu wa metsi a bathong o ne o le monate haholo."", ""Mofuthu o feteletseng o ka baka ho teneha le ho se phutholohe."", ""Mofuthu wa dijo tsena o ne o lekane hantle bakeng sa ho ja.""]"
monyaka,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'neutral': 1, 'negative': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""Monate wa monyaka o ile wa tlala mo kerekeng nakong ya lenyalo."", ""Ke ile ka utlwa monyaka o moholo ha ke fumana mosebetsi oo ke o lakatsang."", ""Monyaka wa ho bapala le metswalle o ile wa fela ha re qetile sekolong."", ""Leha ho ne ho le monate, monyaka o ile wa fokotseha ha pula e qala ho na."", ""Monyaka wa ho bala buka e ntle o nthusa ho phomola.""]"
monyane,positive,3,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""Monyane o ile a hl\u014dla tlholisano ea ho ngola sekolong."", ""Leha e le monyane, o na le bohlale bo fetang ba lilemo tsa hae."", ""Mosebetsi ona o monyane empa o bohlokoa haholo ho katleho ea projeke."", ""Ke ile ka fumana phoso e monyane feela bukeng ena."", ""Monyane oa ka o rata ho bapala le metsoalle ea hae serapeng.""]"
natefeloa,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Ke natefeloa ke monate wa ho bona bana ba bapala ka thabo."", ""Natefeloa ke ho se tsotelle ha batho ba bang ha ba bona motho a hloka thuso."", ""O natefeloa ke ho sebetsa ka thata le ho bona diphetho tse ntle."", ""Natefeloa ke ho se fumane thuso eo ke neng ke e lebeletse."", ""Ke natefeloa ke ho phela bophelo bo bonolo le bo khutsitseng.""]"
nnete,positive,2,"{""positive"": 0.4, ""negative"": 0.2, ""neutral"": 0.4}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 1, 'neutral': 2}. Avg Rating: 2.40. Inferred: Sent=positive, Int=2.","[""Nnete ke hore bophelo bo monate ha o na le metsoalle e metle."", ""Batho ba bangata ba sitwa ho amohela nnete ha e sa ba thabise."", ""Ke ile ka botsa potso, empa ha ke so fumane nnete e hlakileng."", ""Nnete e ka ba bohloko empa e bohlokoa bakeng sa kholo."", ""Ho na le linako tseo nnete e sa hlokahaleng ka tsona.""]"
ntwa,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'neutral': 1, 'negative': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ntwa e ile ya fela ka kgotso le kutlwano."", ""Banna ba ile ba itokisetsa ntwa ka sebete."", ""Ntwa ya dipolotiki e baka dikarohano tse kgolo."", ""Ke rata dipale tse buang ka ntwa ya kgale."", ""Ntwa e ka tlisa diphetogo tse molemo ha e laolwa hantle.""]"
nyonya,positive,4,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Nyonya e monate e entsoeng ke mme wa ka e ile ya kgahla baeti bohle."", ""Ke ile ka nyonya dijo tseo ka lebaka la tatso e sa thabiseng."", ""Nyonya ya dipalesa e tlatsitse kamore ka monko o monate."", ""O ile a nyonya maikutlo a ka ka ho se mamele seo ke se buang."", ""Nyonya ya metsi a hloekileng e ile ya nkgathatsa ha ke ne ke nyorilwe.""]"
rata,positive,3,"{""positive"": 0.75, ""negative"": 0.25, ""neutral"": 0.0}","Aggregated from 4 valid sentence analyses. Counts: {'positive': 3, 'negative': 1}. Avg Rating: 3.25. Inferred: Sent=positive, Int=3.","[""Ke rata ho bala libuka tsa lipale."", ""O rata ho bapala bolo le metsoalle ea hae."", ""Ba rata ho sebetsa hammoho e le sehlopha."", ""O ile a re ha a sa rata ho tsamaea le rona.""]"
senya,negative,4,"{""positive"": 0.4, ""negative"": 0.6, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'negative': 3, 'positive': 2}. Avg Rating: 3.60. Inferred: Sent=negative, Int=4.","[""O se ke wa senya nako ya hao ka ho se etse letho."", ""Ke rata ho senya nako ka ho bala libuka tse monate."", ""Ho senya dijo ke bothata bo boholo lefat\u0161eng."", ""O ile a senya monyetla oa hae ka ho se itokisetse hantle."", ""Mokete o ile oa senya haholo, bohle ba ile ba thaba.""]"
sephiri,positive,3,"{""positive"": 0.4, ""negative"": 0.2, ""neutral"": 0.4}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 1, 'neutral': 2}. Avg Rating: 2.80. Inferred: Sent=positive, Int=3.","[""Sephiri sa katleho ke ho sebetsa ka thata le boitelo."", ""O ile a utloa bohloko ha a utloa hore sephiri sa hae se senotsoe."", ""Sephiri sa tlhaho ea bophelo se ntse se tsoela pele ho hohela bo-rasaense."", ""Ke ile ka mo t\u0161epela sephiri sa ka hobane ke mo t\u0161epa haholo."", ""Ho boloka sephiri ke boikarabelo bo boholo.""]"
serame,positive,3,"{""positive"": 0.6, ""negative"": 0.4, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Serame sa hoseng se etsa hore ke rate ho lula ka tlung ke phutholohile."", ""Ke ne ke sa lebella hore serame se tla ba matla hakana mariha ana."", ""Serame se ile sa re fa monyetla oa ho bona lehloa la pele la selemo."", ""Leha serame se le matla, ke thabela ho tsamaea ka ntle bosiu."", ""Serame se ile sa etsa hore lipalesa tse ngata serapeng sa rona li timele.""]"
swabile,negative,4,"{""positive"": 0.4, ""negative"": 0.6, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 3}. Avg Rating: 3.60. Inferred: Sent=negative, Int=4.","[""Ke swabile haholo ha ke bona katleho ea hao."", ""O swabile haholo ka lebaka la liphoso tseo a li entseng."", ""Ke swabile hore ebe ha re sa kopane khafetsa."", ""O ile a swabile ha a utloa litaba tse monate."", ""Ke swabile hore ebe re tlameha ho emela nako e telele.""]"
thabile,positive,3,"{""positive"": 0.6, ""negative"": 0.4}","Aggregated from 5 sentences. Counts: {'positive': 3, 'negative': 2}. Avg Rating: 3.40. Inferred Sentiment: positive. Inferred Intensity: 3.","[""Ke thabile ho bona hore o fihlile ka nako kajeno."", ""Bana ba thabile haholo ha ba bona dipompong tse ngata."", ""Ha ke thabile ho utlwa ditaba tse mpe tseo o di tlisitseng."", ""O ne a thabile ho fihlela a utlwa ka kotsi ya koloi."", ""Batho bohle ba ne ba thabile mme ba bina dipina tsa thabo mokete o ne o le monate.""]"
thapelo,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 1, 'neutral': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Thapelo o ile a rapela ka matla hore a fumane mosebetsi oo a o lakatsang."", ""Leha thapelo e ne e le ngata, mathata a bona ha aa ka a fela."", ""Thapelo e ne e le karolo ea letsatsi la rona la sekolo."", ""O ile a ikutloa a imolohile ka mor'a thapelo e telele."", ""Thapelo ea bona e ile ea amoheloa ka mofuthu ke baahi ba motse.""]"
thoko,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 3, 'negative': 1, 'neutral': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""Thoko ya bophelo e ka fumanoa ka ho phela ka khotso le kutloano."", ""O ile a mo fa thoko e mpe ka lebaka la boit\u0161oaro ba hae bo bobe."", ""Thoko ea moea e bohlokoa ho feta thoko ea lintho tse bonahalang."", ""Ke ile ka utloa thoko e kholo ha ke fumana mosebetsi oo ke o lakalitseng."", ""Thoko ea maikutlo e ka ama bophelo ba motho ka litsela tse sa t\u0161oaneng.""]"
thusa,positive,3,"{""positive"": 0.3333333333333333, ""negative"": 0.3333333333333333, ""neutral"": 0.3333333333333333}","Aggregated from 3 valid sentence analyses. Counts: {'negative': 1, 'positive': 1, 'neutral': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Thuso ya hae e ne e sa thusa ho hang."", ""Ho thusa batho ba bang ke ketso e ntle."", ""O ile a leka ho thusa, empa maemo a ne a le thata.""]"
tlhompho,positive,4,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tlhompho ke motheo wa kamano e ntle le batho ba bang."", ""O ile a lahlehelwa ke tlhompho ya batho ka lebaka la boitshwaro ba hae bo bobe."", ""Ho na le tlhompho e kgolo ho motho ya sebetsang ka thata."", ""Tlhompho e lokela ho ba teng ho sa tsotellehe maemo a motho."", ""Ke habohlokoa ho ruta bana ba rona tlhompho ho tloha bonyenyaneng.""]"
