word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
go,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Ke tla go kgala hela go ya supermarket.""]"
kabo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Kabo o ne a nthusa ka madi a sekolo sa ka.""]"
kabomo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Kabomo ya rona e ne e le gore re tsamaile ka nako ya phomolo.""]"
kganelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Kganelo ya tlala e ne e le bothata bogolo mo lekgolong la rona la sekolo.""]"
kgope,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Kgope ya gagwe e ne e le monyenyane, empa o ne a kganya ka go tsamaea le yone.""]"
kgosi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Kgosi ya rona e ntse e re lebisa tsela ya katleho.""]"
kgotso,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Kgosi ya kgotso e tla re thusa ho rarolla diphikano tsa rona.""]"
mahloko,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mahloko a hlaha ka nako ya selemo e ntse e chaba, a tsamaea le metswalle ya gagwe go ya kwa tshimong.""]"
maobane,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Maobane a ile gae a thabisitse bana ba gagwe ka ditau le diketo.""]"
mohono,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mohono o ile a nthusa ka mosebetsi wa hae ka nako ya tlala.""]"
mohwadi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mohwadi o ile a nthusa ka mosebetsi wa ka dipolotiki.""]"
mohwatsu,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mohwatsu o ile a nthusa ka madi a sekolo sa bana ba gagwe.""]"
mokgosi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mokgosi o ile a reetsa bana ba hae ka lerato le leholo.""]"
mokgwa,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mokgwa wa gagwe o tshegetsa bana ba sekolo sa lehae ka ditlhoko tsa sekolo.""]"
mone,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Ke kopa o mone a hlahise tseo a di tshepromisang ka yona.""]"
mopedi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mopedi o mosadi yo o tsewang ka go kgonagala ka mafoko a gagwe a bohlale.""]"
mothusi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mothusi o ile a nthusa ka mosebetsi o o nthatakgilego.""]"
mothwane,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Mothwane o ile a nthusa ka nako ya tlala, a mpa dijo tse nntle.""]"
motsheare,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Motsheare o ile a nthusa ka mosebetsi wa ka dipolotiki.""]"
nne,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ke kopa nne wago ithusa ka mosebetsi wa ka.""]"
nono,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Nono ya ka o ile a nthusa ka moso a mpe a rekisa dijo tse nkgatlhang.""]"
pherekano,neutral,1,"{""positive"": 0.0, ""negative"": 0.0, ""neutral"": 1.0}","Aggregated from 1 valid sentence analyses. Counts: {'neutral': 1}. Avg Rating: 1.00. Inferred: Sent=neutral, Int=1.","[""Phenyo o ne a tsaya pherekano ya gagwe a ya kwa sekolong sa tlase kwa motseng wa hae.""]"
phitlhelelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Phitlhelelo ya gagwe e bile ya go mo thuba thata, a sa kgone go ithusa.""]"
phitlho,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Phitlho ya gagwe e ne e le ntho e nngwe ya bohlokwa mo nakong ya tlhoko.""]"
sebolelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Sebolelo sa gagwe se ile sa mo thabiseng haholo ka katleho eo a e fihletseng.""]"
sekepe,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Ke kopa o reke sekepe sa metsi a pholosa mo lebeseng la rona.""]"
sekgel,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Ke kgonne go reka sekgel sa diaparo mo masepala a gauta.""]"
thabo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Thabo o ile a reetsa keletso ya gagwe ka go tsamaea thabeng.""]"
thata,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Ke kgonne go dira thata ka nako ya matsatsi a phomolo.""]"
tlala,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tlala ya dijo e ne e le bothata go lora mo go rone ka nako eo re neng re sa tshepe.""]"
tshenyegelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshenyegelo ya rona e bile e ntle haholo, re kopane le metswalle ya rona ka mafelo a phomolo.""]"
tshiamo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshiamo ya gagwe e ne e le kgosi ya bohlokoa mo motseng wa habo.""]"
tshikamano,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshikamano ya batho ba phulana e ne e le kholo ka nako ya lenyalo la monna oa mookamedi.""]"
tshikamelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tshikamelo ya rona e ne e le gore re tsheke dikgosi tse di tlang mo motsaneng wa rona.""]"
tshikolodi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshikolodi t\u0161a rona di a re thusa go feta mathateng a letsatsi le letsatsi.""]"
tshikolola,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshikolola ya kha ya ramoswa e ne e le ntho e nngwe ya bohlokwa mo motseng wa habo.""]"
tshikuelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tshikuelo ya rona e ntse e sokolisa ka nako ya dihlamathi.""]"
tshilalelo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Tshilalelo ya rona e ntse e sokolisa bana ba sekolo ka nako ya phomolo.""]"
tshilidze,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshilidze t\u0161a rona di a re thusa go feta mathateng a letsatsi le letsatsi.""]"
tshililo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Tshililo ya rena e tsamaile ka nako eo re neng re le bana.""]"
tshilolo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tshilolo ya rona e ne e le gore re tsamaile ka nako ya phomolo.""]"
tshilwe,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshilwe o tshwele pele ka go ithuta ka mafoko a rona a setso.""]"
tshimamare,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshimamare ya rona e ntse e le sebaka se setle sa go ithuta le go swana le metswalle.""]"
tshimologelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshimologelo ya ramosho e ne e le nako e thabisang haholo bakeng sa bana ba sekolong.""]"
tshimologo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshimologo ya rona e ne e le gore re tsamaee ka nako ya phomolo, mme re sa lebale go reka dijo tsa mantsibuka.""]"
tshipego,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshipego ya gagwe e ne e le ngwana yo a ntlha a hlanga mo sekolong sa habanya.""]"
tshipelegetso,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tshipelegetso ya gagwe e ne e le ngwana ya gagwe a le senyane.""]"
tsholofelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tsholofelo ya gagwe e ne e le ngwana wa sethunya, a sa tshegi ka ditlala tsa gagwe.""]"
tshwanelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshwanelo ya go ithuta ka mafoko a moagi wa gagwe e ne e le ntho ya bohlokwa mo nakong ya gagwe.""]"
tshwenye,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Tshwenye ya rona e ntse e sokolwa ke mathata a tebileng a moruo.""]"
tshwenyo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshwenyo ya gagwe e ne e le ntho e nkgatlhisang haholo nakong ya phuthego.""]"
