word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
kgoberego,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Kgoberego ya lerapo la gagwe e mo tshwenyang thata, mme o tshwanetse go ya kwa ngakeng go bona thuso.""]"
kgopisego,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Kgopisego e e diragetseng mo motseng wa rona e tlisitse kutlobotlhoko mo bathong ba bantsi, mme re tshwanetse go ithuta go itshwarela le go tswelela pele.""]"
kgotlelego,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Kgotlelego ya tikologo e bakwa ke go latlha matlakala gongwe le gongwe, mme re tshwanetse go nna le maikarabelo a go sireletsa lefatshe la rona.""]"
kgotlelelo,positive,5,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 5.00. Inferred: Sent=positive, Int=5.","[""Kgotlelelo ya gagwe mo go ithuteng puo ya Setswana e mo thusitse go falola ditlhatlhobo tsa gagwe ka dinaledi.""]"
kgotlhang,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Batsadi ba leka go rarabolola kgotlhang magareng ga bana ba bone ka go ba reetsa le go ba thusa go tlhaloganya maikutlo a mongwe le mongwe.""]"
kgotso,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Kgotso e e tseneletseng e tlisa boikhutso mo moweng wa motho.""]"
khutsafalo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Khutsafalo e e mo pelong ya gagwe e ne ya simolola go nyelela fa a bona bana ba gagwe ba tla go mo etela kwa bookelong.""]"
lerato,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Lerato la gagwe le le tseneletseng mo go nna le nthusitse go tswelela le fa ke ne ke lebagane le mathata a mantsi.""]"
letshogo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Ke ne ka tshwarwa ke letshogo fa ke utlwa modumo o o sa tlwaelegang kwa morago ga ntlo bosigo.""]"
matlhotlhapelo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Matlhotlhapelo a a diragetseng mo motseng wa rona a re tshwenyang thata, mme re tshwanetse go ema mmogo go thusana mo dinakong tse di thata.""]"
tlalelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Batsadi ba gagwe ba ne ba mo tsenya mo tlalelong fa ba mo kopa go tlogela sekolo go ya go dira kwa masimong.""]"
tlhaelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Bana ba bantsi mo lefatsheng ba bogisiwa ke tlhaelo ya dijo, metsi a a phepa le ditlamelo tsa motheo.""]"
tlhobaelo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Ke utlwa tlhobaelo e kgolo ka ga bokamoso jwa bana ba rona mo lefatsheng le le fetogafetogeng ka bonako.""]"
tlhobogo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Batho ba bantsi ba tlhoka tlhobogo ya maikutlo fa ba lebagana le mathata a botshelo.""]"
tlhokofalo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Morago ga tlhokofalo ya mmaagwe, Mpho o ne a tshwanelwa ke go godisa bana ba gagwe a le esi.""]"
tlhokomelo,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Bana ba tlhoka tlhokomelo e e tseneletseng go ba thusa go gola sentle mo botshelong.""]"
tlhonamo,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Morago ga go utlwa dikgang tse di botlhoko, o ne a tsenwa ke tlhonamo e e tseneletseng mme a tlhoka go nna a le nosi.""]"
tlontlologo,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Bana ba tshwanetse go rutiwa tlontlologo ya batho ba bagolo go tswa ba sa le bannye.""]"
tshabo,neutral,1,"{""positive"": 0.0, ""negative"": 0.0, ""neutral"": 1.0}","Aggregated from 1 valid sentence analyses. Counts: {'neutral': 1}. Avg Rating: 1.00. Inferred: Sent=neutral, Int=1.","[""Bana ba bantsi ba na le tshabo ya lefifi, mme seno se ka thibelwa ka go ba ruta gore ga go na sepe se se boifisang mo lefifing.""]"
tshegofatso,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshegofatso ya pula e tlisitse boitumelo mo balemiruing morago ga leuba le le neng le ba tshwere.""]"
tshiamo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Tshiamo o ne a thusa batsadi ba gagwe go tlhokomela masimo a bone, mme ba mo lebogela boineelo jwa gagwe.""]"
tsholofelo,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ke na le tsholofelo ya gore kamoso e tlaa nna letsatsi le le botoka go na le gompieno.""]"
tshwenyego,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Ke utlwa tshwenyego e kgolo ka ga seemo sa ikonomi mo lefatsheng la rona.""]"
